model_id,run_name,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names
claude-haiku-4-5-20251001,1claude_72b8d0c0,7,0,42,2,6,9,2.31,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,2claude_42bb2804,7,0,42,2,6,9,2.31,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,3claude_35fac96a,7,0,42,2,6,9,2.31,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,1claude_270ed5c9,7,0,42,1,6,10,2.71,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,2claude_275bad09,7,0,42,1,6,10,3.16,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,3claude_1d8fcc44,7,0,42,1,6,9,2.58,2.0,49,50,1.0,1.0,1.0,0,
claude-sonnet-4-6,1claude_2bbebfd0,7,0,42,2,6,14,3.83,2.0,49,50,1.0,1.0,1.0,0,
claude-sonnet-4-6,2claude_03080d88,6,0,42,4,7,11,3.29,2.0,48,49,1.0,1.0,1.0,0,
claude-sonnet-4-6,3claude_257a4648,7,0,42,1,6,11,3.61,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,1openai_a43bd10e,6,0,39,2,6.5,11,3.62,2.0,45,46,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,2openai_14bd015b,5,0,34,2,6.8,11,3.83,2.0,39,40,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,3openai_b8dcb419,7,0,42,0,6,16,5.51,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,1openai_2c87c70c,7,0,42,0,6,12,4.76,2.0,49,50,1.0,0.9767,0.9882,1,Nuremisaki
gpt-5.4-mini-2026-03-17,2openai_0b3d7981,7,0,42,0,6,10,3.79,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,3openai_07e48457,7,0,42,0,6,12,5.39,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,1openai_f8f98579,7,0,41,0,5.86,16,6.39,2.0,48,49,0.9762,0.9318,0.9535,3,Nuri-twin; Nuri-meizu; Nuri-misaki
gpt-5.4-nano-2026-03-17,2openai_28b6b124,6,0,36,0,6,18,6.36,2.0,42,43,0.9762,0.9762,0.9762,1,Nuriimeizu
gpt-5.4-nano-2026-03-17,3openai_182d3c54,7,0,41,0,5.86,16,6.72,2.0,48,49,0.9762,0.9762,0.9762,1,Nuri-twin
models/gemini-2.5-flash,1gemini_0e66828e,7,0,42,6,6,6,0.0,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,2gemini_ee27a247,7,0,42,3,6,10,2.16,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,3gemini_85236e5c,7,0,42,3,6,10,2.16,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,1gemini_3f2df874,7,0,42,4,6,9,1.83,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,2gemini_4114151c,7,0,42,4,6,9,1.83,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,3gemini_f038814c,7,0,42,4,6,9,1.83,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-pro,1gemini_19d31df4,7,0,42,5,6,7,1.0,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-pro,2gemini_26996395,7,0,42,4,6,8,1.73,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-pro,3gemini_7b9a3fe2,7,0,42,4,6,11,2.65,2.0,49,50,1.0,1.0,1.0,0,
