model_id,run_name,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names
claude-haiku-4-5-20251001,1claude_4e118713,5,9,42,1,8.4,16,6.27,2.98,56,57,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,2claude_0e22fab7,5,10,42,2,8.4,15,5.46,3.0,57,58,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,3claude_03885d85,6,12,42,2,7,14,4.2,3.0,60,61,1.0,1.0,1.0,0,
claude-opus-4-6,1claude_c77a90e2,6,21,42,1,7,16,5.69,3.57,82,83,1.0,1.0,1.0,0,
claude-opus-4-6,2claude_42f24529,6,14,42,1,7,15,5.18,2.93,62,63,1.0,1.0,1.0,0,
claude-opus-4-6,3claude_0213c657,3,7,42,2,14,28,13.11,4.12,75,76,1.0,1.0,1.0,0,
claude-sonnet-4-6,1claude_0c6939a0,8,15,42,1,5.25,11,3.77,2.88,65,66,1.0,1.0,1.0,0,
claude-sonnet-4-6,2claude_2bc9ba81,11,20,42,1,3.82,9,2.99,2.98,76,77,1.0,1.0,1.0,0,
claude-sonnet-4-6,3claude_adb4f698,9,24,42,1,4.67,12,3.74,3.1,78,79,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,1openai_374aa444,1,7,42,42,42,42,0.0,4.88,87,88,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,2openai_526b8ebf,9,25,42,0,4.67,21,7.33,3.0,76,77,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,3openai_03cc2d13,1,9,42,42,42,42,0.0,3.98,71,72,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,1openai_f8d62ecf,8,0,42,0,5.25,16,5.92,2.0,50,51,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,2openai_ee98a23d,8,0,42,0,5.25,21,7.23,2.0,50,51,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,3openai_c9f75a4c,10,15,42,0,4.2,18,6.14,2.95,67,68,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,1openai_cb2a7d09,6,0,37,0,6.17,18,6.52,2.0,43,44,0.881,1.0,0.9367,0,
gpt-5.4-nano-2026-03-17,2openai_6eea76c2,13,0,36,0,2.77,10,3.0,2.0,49,50,0.8571,1.0,0.9231,0,
gpt-5.4-nano-2026-03-17,3openai_a08f6afb,11,0,33,0,3,8,2.83,2.0,44,45,0.7857,1.0,0.88,0,
models/gemini-2.5-flash,1gemini_72079c4b,4,12,41,7,10.25,14,2.99,3.0,57,58,0.9762,1.0,0.988,0,
models/gemini-2.5-flash,2gemini_4b485d08,6,10,40,1,6.67,22,8.07,2.95,56,57,0.9524,1.0,0.9756,0,
models/gemini-2.5-flash,3gemini_d5e582b7,4,8,42,2,10.5,23,8.96,3.55,60,61,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,1gemini_fe06a01b,5,9,38,1,7.6,17,6.99,2.92,52,53,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,2gemini_c9c85548,6,11,39,2,6.5,14,4.72,3.0,56,57,0.9286,1.0,0.963,0,
models/gemini-2.5-flash-lite,3gemini_2d772247,6,9,42,1,7,23,8.88,2.95,57,58,1.0,1.0,1.0,0,
models/gemini-2.5-pro,1gemini_4d272c09,5,8,36,4,7.2,15,4.66,2.78,49,50,0.8571,0.9,0.878,4,Slitherlink (Loop Version); Mid-loop (Loop Version); Slitherlink (Rectangle Division Version); Mid-loop (Number Version)
models/gemini-2.5-pro,2gemini_a831a0ad,5,8,42,4,8.4,16,4.83,2.71,55,56,1.0,0.9767,0.9882,1,Slitherlink (Rectangles variant)
models/gemini-2.5-pro,3gemini_95853e92,7,5,41,1,5.86,12,4.18,2.37,53,54,1.0,1.0,1.0,0,
