model_id,run_name,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,1claude_5525134a,,13
claude-haiku-4-5-20251001,2claude_110c3d41,,14
claude-haiku-4-5-20251001,3claude_6a55536a,,11
claude-opus-4-6,1claude_37c17056,,22
claude-opus-4-6,2claude_2237fc1b,,19
claude-opus-4-6,3claude_d73a2f79,,19
claude-sonnet-4-6,1claude_a5b5766c,,32
claude-sonnet-4-6,2claude_f0d6a37a,,32
claude-sonnet-4-6,3claude_0aea2aeb,,32
gpt-5.4-2026-03-05,1openai_0674b464,,
gpt-5.4-2026-03-05,2openai_eca61c25,,
gpt-5.4-2026-03-05,3openai_25145a01,,
gpt-5.4-mini-2026-03-17,1openai_25be0659,,9
gpt-5.4-mini-2026-03-17,2openai_ff8f3965,,20
gpt-5.4-mini-2026-03-17,3openai_1386de33,,12
gpt-5.4-nano-2026-03-17,1openai_27e66c28,,
gpt-5.4-nano-2026-03-17,2openai_b471ff37,,
gpt-5.4-nano-2026-03-17,3openai_77dd4545,,
models/gemini-2.5-flash,1gemini_c71d0e07,,22
models/gemini-2.5-flash,2gemini_89af40a1,,22
models/gemini-2.5-flash,3gemini_4bb0ceb1,,5
models/gemini-2.5-flash-lite,1gemini_9ff7c580,,3
models/gemini-2.5-flash-lite,2gemini_d7c89e03,,3
models/gemini-2.5-flash-lite,3gemini_938a0e35,,3
models/gemini-2.5-pro,1gemini_b268b3db,,7
models/gemini-2.5-pro,2gemini_3d3093a2,,7
models/gemini-2.5-pro,3gemini_c112d38d,,11
