model_id,run_name,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,10claude_f8344d5b,,15
claude-haiku-4-5-20251001,1claude_5525134a,,13
claude-haiku-4-5-20251001,2claude_110c3d41,,14
claude-haiku-4-5-20251001,3claude_6a55536a,,11
claude-haiku-4-5-20251001,4claude_3c3ddac8,,14
claude-haiku-4-5-20251001,5claude_3b05256f,,17
claude-haiku-4-5-20251001,6claude_33cbdae6,,11
claude-haiku-4-5-20251001,7claude_5ca6eeee,,12
claude-haiku-4-5-20251001,8claude_10bd9f7c,,14
claude-haiku-4-5-20251001,9claude_9b7683f3,,13
claude-opus-4-6,10claude_48649289,,19
claude-opus-4-6,1claude_37c17056,,22
claude-opus-4-6,2claude_2237fc1b,,19
claude-opus-4-6,3claude_d73a2f79,,19
claude-opus-4-6,4claude_a8c97238,,22
claude-opus-4-6,5claude_7dd55ffa,,22
claude-opus-4-6,6claude_92a2a5ac,,20
claude-opus-4-6,7claude_1a61e108,,19
claude-opus-4-6,8claude_77f53eb5,,21
claude-opus-4-6,9claude_dc0d4bcf,,22
claude-sonnet-4-6,10claude_2e12503f,,33
claude-sonnet-4-6,1claude_a5b5766c,,32
claude-sonnet-4-6,2claude_f0d6a37a,,32
claude-sonnet-4-6,3claude_0aea2aeb,,32
claude-sonnet-4-6,4claude_7a0cdd4d,,34
claude-sonnet-4-6,5claude_e9213a65,,32
claude-sonnet-4-6,6claude_0ef293fe,,33
claude-sonnet-4-6,7claude_0586b05a,,34
claude-sonnet-4-6,8claude_c1748731,,33
claude-sonnet-4-6,9claude_90622b3e,,33
gpt-5.4-2026-03-05,1openai_0674b464,,
gpt-5.4-2026-03-05,2openai_eca61c25,,
gpt-5.4-2026-03-05,3openai_25145a01,,
gpt-5.4-mini-2026-03-17,1openai_25be0659,,9
gpt-5.4-mini-2026-03-17,2openai_ff8f3965,,20
gpt-5.4-mini-2026-03-17,3openai_1386de33,,12
gpt-5.4-nano-2026-03-17,10openai_0f2c213f,,
gpt-5.4-nano-2026-03-17,1openai_27e66c28,,
gpt-5.4-nano-2026-03-17,2openai_b471ff37,,
gpt-5.4-nano-2026-03-17,3openai_77dd4545,,
gpt-5.4-nano-2026-03-17,4openai_8eedaf68,,
gpt-5.4-nano-2026-03-17,5openai_3e1aa990,,
gpt-5.4-nano-2026-03-17,6openai_ea5f2420,,
gpt-5.4-nano-2026-03-17,7openai_42752816,,
gpt-5.4-nano-2026-03-17,8openai_b47fb47d,,
gpt-5.4-nano-2026-03-17,9openai_d476c82f,,
models/gemini-2.5-flash,1gemini_c71d0e07,,22
models/gemini-2.5-flash,2gemini_89af40a1,,22
models/gemini-2.5-flash,3gemini_4bb0ceb1,,5
models/gemini-2.5-flash-lite,1gemini_9ff7c580,,3
models/gemini-2.5-flash-lite,2gemini_d7c89e03,,3
models/gemini-2.5-flash-lite,3gemini_938a0e35,,3
models/gemini-2.5-pro,1gemini_b268b3db,,7
models/gemini-2.5-pro,2gemini_3d3093a2,,7
models/gemini-2.5-pro,3gemini_c112d38d,,11
