experiment_id,model_id,run_name,method,generation_time
GeneratedTaxonomies,gemini,1gemini_4bb5161f,Unknown
GeneratedTaxonomies,gemini,manual_format_gemini_4bb5161f,CSV
GeneratedTaxonomies,gemini,1gemini_4bb5161f,Unknown
GeneratedTaxonomies,gemini,manual_format_gemini_4bb5161f,CSV
GeneratedTaxonomies,gemini,manual_taxonomy_gemini_4bb5161f,CSV
Experiment1,gemini,1gemini_cc0d505d,Unknown
Experiment1,gemini,1gemini_24cd3cf3,Unknown
Experiment1,gemini,1gemini_d36a4f5d,Unknown
Experiment1,gemini,1gemini_24cd3cf3,Unknown
experiment_id,model_id,run_name,method
Experiment1,claude,1claude_83a87bf7,Unknown
experiment_id,model_id,run_name,method
Test,claude,oldEx1ClaudeUI,CSV
experiment_id,model_id,run_name,method
Test,claude,oldEx1ClaudeUI,CSV
experiment_id,model_id,run_name,method
Test,claude,oldEx1ClaudeUI,CSV
experiment_id,model_id,run_name,method
Test,claude,oldEx1ClaudeUI,CSV
experiment_id,model_id,run_name,method
Test,claude,oldEx1ClaudeUI,CSV
experiment_id,model_id,run_name,method
Test,claude,oldEx1ClaudeUI,CSV
experiment_id,model_id,run_name,method
Test,claude,oldEx1ClaudeUI,CSV
experiment_id,model_id,run_name,method
Test,claude,oldEx1ClaudeUI,CSV
experiment_id,model_id,run_name,method
Test,claude,oldEx1ClaudeUI,CSV
experiment_id,model_id,run_name,method
Test,claude,oldEx1ClaudeUI,CSV
experiment_id,model_id,run_name,method
Test,claude,oldEx1ClaudeUI,CSV
experiment_id,model_id,run_name,method
Test,claude,oldEx1ClaudeUI,CSV
experiment_id,model_id,run_name,method
Experiment1Test,claude,1claude_cf5aae70,Unknown
experiment_id,model_id,run_name,method
Experiment1Test,claude,1claude_cf5aae70,Unknown
Experiment1,gemini,1gemini_eeace969,Unknown
Experiment1,claude,1claude_b5277e64,Unknown
Experiment1,gemini,1gemini_9d3ae74f,Unknown
Experiment1,claude,1claude_2d74ae2a,Unknown
Experiment1,openai,1openai_da4c8827,Unknown
Experiment1,claude,1claude_e78b0ccd,JSONselfCSVFormat
Experiment1,gemini,1gemini_2413fcfc,JSONselfCSVFormat
Experiment1,claude,2claude_2d74ae2a,JSONselfCSVFormat
Experiment1,claude,1claude_b5277e64,JSONselfCSVFormat
Experiment1,claude,3claude_e78b0ccd,JSONselfCSVFormat
Experiment1,gemini,3gemini_2413fcfc,JSONselfCSVFormat
Experiment1,gemini,2gemini_9d3ae74f,JSONselfCSVFormat
Experiment1,gemini,1gemini_eeace969,JSONselfCSVFormat
Experiment1,claude,2claude_2d74ae2a,JSONselfCSVFormat
Experiment1,claude,1claude_b5277e64,JSONselfCSVFormat
Experiment1,claude,3claude_e78b0ccd,JSONselfCSVFormat
Experiment1,gemini,3gemini_2413fcfc,JSONselfCSVFormat
Experiment1,gemini,2gemini_9d3ae74f,JSONselfCSVFormat
Experiment1,gemini,1gemini_eeace969,JSONselfCSVFormat
