model_id,run_name,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,1claude_aa575f38,,16
claude-haiku-4-5-20251001,2claude_b0c30c88,,15
claude-haiku-4-5-20251001,3claude_e1b85269,,16
claude-opus-4-6,1claude_aa283f75,,27
claude-opus-4-6,2claude_189c8e47,,23
claude-opus-4-6,3claude_d1822811,,27
claude-sonnet-4-6,1claude_bf85d3e9,,25
claude-sonnet-4-6,2claude_a86d6045,,25
claude-sonnet-4-6,3claude_9117c2f7,,25
gpt-5.4-2026-03-05,10openai_7b034fae,,26
gpt-5.4-2026-03-05,1openai_200c16ee,,25
gpt-5.4-2026-03-05,2openai_01fc1784,,25
gpt-5.4-2026-03-05,3openai_b069849e,,25
gpt-5.4-2026-03-05,4openai_5dad4dda,,28
gpt-5.4-2026-03-05,5openai_6fa6a502,,28
gpt-5.4-2026-03-05,6openai_ed4dd39c,,27
gpt-5.4-2026-03-05,7openai_d0f4d6ec,,25
gpt-5.4-2026-03-05,8openai_af9bae05,,27
gpt-5.4-2026-03-05,9openai_42bb9231,,28
gpt-5.4-mini-2026-03-17,1openai_24ab50f9,,30
gpt-5.4-mini-2026-03-17,2openai_6cb5a0fd,,35
gpt-5.4-mini-2026-03-17,3openai_1cdaff1a,,28
gpt-5.4-nano-2026-03-17,1openai_650c59e2,,24
gpt-5.4-nano-2026-03-17,2openai_3aecae1b,,17
gpt-5.4-nano-2026-03-17,3openai_906efac4,,29
models/gemini-2.5-flash,1gemini_74601add,,6
models/gemini-2.5-flash,2gemini_d090a26a,,6
models/gemini-2.5-flash,3gemini_88c5a123,,6
models/gemini-2.5-flash-lite,1gemini_cfde2b5e,,3
models/gemini-2.5-flash-lite,2gemini_f425590a,,3
models/gemini-2.5-flash-lite,3gemini_90c4afac,,3
models/gemini-2.5-pro,1gemini_db87234b,,16
models/gemini-2.5-pro,2gemini_c148792a,,20
models/gemini-2.5-pro,3gemini_65d3940a,,19
