experiment_id,scope,total_pairs,always_together,stability_score
Comb_List_Basic_T0_00654f,models/gemini-2.5-flash-lite,148,148,1.0
Comb_List_Basic_T0_00654f,claude-haiku-4-5-20251001,76,25,0.3289
Comb_List_Basic_T0_00654f,gpt-5.4-nano-2026-03-17,263,19,0.0722
Comb_List_Basic_T0_00654f,gpt-5.4-mini-2026-03-17,410,79,0.1927
Comb_List_Basic_T0_00654f,claude-sonnet-4-6,74,11,0.1486
Comb_List_Basic_T0_00654f,gpt-5.4-2026-03-05,130,19,0.1462
Comb_List_Basic_T0_00654f,claude-opus-4-6,135,20,0.1481
Comb_List_Basic_T0_00654f,models/gemini-2.5-flash,157,26,0.1656
Comb_List_Basic_T0_00654f,models/gemini-2.5-pro,129,15,0.1163
Comb_List_Basic_T0_00654f,experiment,626,0,0.0
