model_id,run_name,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,1claude_6b71d60f,,19
claude-haiku-4-5-20251001,2claude_b1cc7645,,19
claude-haiku-4-5-20251001,3claude_475f9e9b,,21
claude-opus-4-6,1claude_be7b395b,,22
claude-opus-4-6,2claude_595aaa51,,20
claude-opus-4-6,3claude_10d59ce5,,20
claude-sonnet-4-6,1claude_cc26b81a,,23
claude-sonnet-4-6,2claude_cfd07486,,25
claude-sonnet-4-6,3claude_722d8171,,25
gpt-5.4-2026-03-05,1openai_f3480f49,,23
gpt-5.4-2026-03-05,2openai_bc943c43,,27
gpt-5.4-2026-03-05,3openai_a18ae31c,,27
gpt-5.4-mini-2026-03-17,1openai_80c7ee63,,20
gpt-5.4-mini-2026-03-17,2openai_be5d7e92,,17
gpt-5.4-mini-2026-03-17,3openai_69e232f2,,20
gpt-5.4-nano-2026-03-17,1openai_2bf112cb,,25
gpt-5.4-nano-2026-03-17,2openai_b37b8f89,,26
gpt-5.4-nano-2026-03-17,3openai_fee7c80a,,30
models/gemini-2.5-flash,1gemini_72e9f1a9,,26
models/gemini-2.5-flash,2gemini_606b2a35,,26
models/gemini-2.5-flash,3gemini_9b87ecdc,,20
models/gemini-2.5-flash-lite,1gemini_ba64446b,,0
models/gemini-2.5-flash-lite,2gemini_3f3a7e9f,,0
models/gemini-2.5-flash-lite,3gemini_70f8810e,,0
models/gemini-2.5-pro,1gemini_36cb50e0,,25
models/gemini-2.5-pro,2gemini_5950fe52,,23
models/gemini-2.5-pro,3gemini_6748473b,,25
